function_value,coverd_time,window_size,linear_length,non_linear_length,inverse_value
1.1,854,561,525,36,1.0014048990658655
1.2,4771,561,525,36,1.006067589065304
1.3,55320,561,525,36,1.0115659890648432
1.4,638310,561,525,36,1.0166318869041395
1.5,6553015,561,525,36,1.0213029799957585
1.6,59469176,561,525,36,1.0256583151192895
1.7,480299930,561,525,36,1.0297487751828556
1.8,3483315136,561,525,36,1.0336099755240153
1.9,22889733469,561,525,36,1.0372691002120644
2.0,137438953995,561,525,36,1.040747988300928
